#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-11-24 23:29:41.986

Time (s),Channel 2 (V)
3.042e-05,-3.488709345022713
3.043e-05,-3.488518452796656
3.044e-05,-3.488418862534306
3.045e-05,-3.488498065855126
3.046e-05,-3.488506033965012
3.047e-05,-3.48845462305975
3.048e-05,-3.488573209087041
3.049e-05,-3.488604218265022
3.05e-05,-3.488573069057314
3.051e-05,-3.488762568601746
3.052e-05,-3.488717410011788
3.053e-05,-3.488604321085704
3.054e-05,-3.488717867974531
3.055e-05,-3.48872110909647
3.056e-05,-3.488596176235301
3.057e-05,-3.488636710911694
3.058e-05,-3.488735721459708
3.059e-05,-3.488639076295514
3.06e-05,-3.488600856703804
3.061e-05,-3.488692751305915
3.062e-05,-3.488638332828154
3.063e-05,-3.488652357710234
3.064e-05,-3.48876679169735
3.065e-05,-3.488773529167828
3.066e-05,-3.488654269677756
3.067e-05,-3.488748212715874
3.068e-05,-3.488775194362651
3.069e-05,-3.488636887936232
3.07e-05,-3.488685893262785
3.071e-05,-3.488643237418069
3.072e-05,-3.488600871579867
3.073e-05,-3.488641111101955
3.074e-05,-3.488724779601423
3.075e-05,-3.488743346581532
3.076e-05,-3.488734534300795
3.077e-05,-3.488701625039319
3.078e-05,-3.48867642251679
3.079e-05,-3.488706596450599
3.08e-05,-3.488775220600347
3.081e-05,-3.488680220934417
3.082e-05,-3.488554694647649
3.083e-05,-3.488601969748917
3.084e-05,-3.488655911954991
3.085e-05,-3.488773246181718
3.086e-05,-3.488728608807414
3.087e-05,-3.488564933616228
3.088e-05,-3.488690558480406
3.089e-05,-3.488799895769775
3.09e-05,-3.488757695748764
3.091e-05,-3.488636400193774
3.092e-05,-3.488559925741731
3.093e-05,-3.488552976237728
3.094e-05,-3.488665478632523
3.095e-05,-3.488589661704465
3.096e-05,-3.488525429584987
3.097e-05,-3.488596690576517
3.098e-05,-3.488584980585652
3.099e-05,-3.488658587429904
3.1e-05,-3.488712300081453
3.101e-05,-3.488710461023447
3.102e-05,-3.488662634614483
3.103e-05,-3.488705328706012
3.104e-05,-3.488721938434182
3.105e-05,-3.488706264625129
3.106e-05,-3.488844355376362
3.107e-05,-3.48883178912439
3.108e-05,-3.488692317185797
3.109e-05,-3.488793876893691
3.11e-05,-3.488909975985393
3.111e-05,-3.488738035861229
3.112e-05,-3.488771717922215
3.113e-05,-3.488777677689189
3.114e-05,-3.488777097479408
3.115e-05,-3.488730981452402
3.116e-05,-3.48868427414361
3.117e-05,-3.48866815836579
3.118e-05,-3.488730284573009
3.119e-05,-3.488819443419676
3.12e-05,-3.488798185414215
3.121e-05,-3.488835080215876
3.122e-05,-3.488796119945192
3.123e-05,-3.488775739197442
3.124e-05,-3.488729444547296
3.125e-05,-3.488633513986849
3.126e-05,-3.488730185568231
3.127e-05,-3.488829718425286
3.128e-05,-3.488820268821418
3.129e-05,-3.488837121312441
3.13e-05,-3.489027502991297
3.131e-05,-3.488947159127119
3.132e-05,-3.488745425864218
3.133e-05,-3.48882892888385
3.134e-05,-3.48887652720846
3.135e-05,-3.488819235662903
3.136e-05,-3.488850485521914
3.137e-05,-3.488853133812477
3.138e-05,-3.488934469915065
3.139e-05,-3.488861267838895
3.14e-05,-3.488768083727051
3.141e-05,-3.488831078637057
3.142e-05,-3.488958577453767
3.143e-05,-3.48891688482461
3.144e-05,-3.488898487193091
3.145e-05,-3.48904754416503
3.146e-05,-3.488991353616752
3.147e-05,-3.488861880049716
3.148e-05,-3.488919070639149
3.149e-05,-3.488974784959671
3.15e-05,-3.489010893550494
3.151e-05,-3.488987010069117
3.152e-05,-3.488965943555203
3.153e-05,-3.488926326033304
3.154e-05,-3.488968015131379
3.155e-05,-3.488870769279381
3.156e-05,-3.488940219103995
3.157e-05,-3.488975894975822
3.158e-05,-3.488967604274388
3.159e-05,-3.489025157216628
3.16e-05,-3.489023134589637
3.161e-05,-3.488980891460185
3.162e-05,-3.489045778087031
3.163e-05,-3.489031928344628
3.164e-05,-3.48904100526993
3.165e-05,-3.48919557685001
3.166e-05,-3.489152278260828
3.167e-05,-3.488974786315357
3.168e-05,-3.488890626282281
3.169e-05,-3.489000734489586
3.17e-05,-3.488997581904615
3.171e-05,-3.48893720718687
3.172e-05,-3.489025655024875
3.173e-05,-3.488983870956069
3.174e-05,-3.488851321740153
3.175e-05,-3.488929747440269
3.176e-05,-3.489014378018691
3.177e-05,-3.488871621254329
3.178e-05,-3.488918960880002
3.179e-05,-3.48894723190354
3.18e-05,-3.488983258499331
3.181e-05,-3.488957246894998
3.182e-05,-3.488911268102337
3.183e-05,-3.488990678636336
3.184e-05,-3.48895126242285
3.185e-05,-3.488932272777447
3.186e-05,-3.488992772150707
3.187e-05,-3.488926597737958
3.188e-05,-3.488911279808204
3.189e-05,-3.489004630941654
3.19e-05,-3.489022413728384
3.191e-05,-3.48895763881262
3.192e-05,-3.489042909132516
3.193e-05,-3.489058999397411
3.194e-05,-3.488972565338764
3.195e-05,-3.488890233273211
3.196e-05,-3.488923864086235
3.197e-05,-3.488946022073049
3.198e-05,-3.488965560964097
3.199e-05,-3.488965249398222
3.2e-05,-3.488965847400716
3.201e-05,-3.489060294151071
3.202e-05,-3.489098148184969
3.203e-05,-3.489145478067448
3.204e-05,-3.48916056930765
3.205e-05,-3.489054987186035
3.206e-05,-3.489046810465427
3.207e-05,-3.489181440241557
3.208e-05,-3.489120950001663
3.209e-05,-3.489169929123179
3.21e-05,-3.489283115828131
3.211e-05,-3.489168557704387
3.212e-05,-3.489025374256443
3.213e-05,-3.489136469876897
3.214e-05,-3.489096467257313
3.215e-05,-3.489154839782155
3.216e-05,-3.489221296904451
3.217e-05,-3.489156400064187
3.218e-05,-3.489141355914191
3.219e-05,-3.489203454500164
3.22e-05,-3.489180512459721
3.221e-05,-3.489150318185145
3.222e-05,-3.489150311012021
3.223e-05,-3.489228127092863
3.224e-05,-3.4892436234682
3.225e-05,-3.489305635937987
3.226e-05,-3.48935701133569
3.227e-05,-3.489195973352311
3.228e-05,-3.48916505013548
3.229e-05,-3.489361402987778
3.23e-05,-3.489412485289907
3.231e-05,-3.489365170764122
3.232e-05,-3.489341525447127
3.233e-05,-3.489311842396563
3.234e-05,-3.489309675372105
3.235e-05,-3.48940604485105
3.236e-05,-3.489334093168948
3.237e-05,-3.489259131460796
3.238e-05,-3.489326681551402
3.239e-05,-3.489331162610918
3.24e-05,-3.489348632001241
3.241e-05,-3.489340462510557
3.242e-05,-3.489369200905472
3.243e-05,-3.489254712918827
3.244e-05,-3.489237475011998
3.245e-05,-3.489331407600145
3.246e-05,-3.489302657737587
3.247e-05,-3.48925800858846
3.248e-05,-3.489246168911557
3.249e-05,-3.489199799346425
3.25e-05,-3.489325057743892
3.251e-05,-3.489277074622713
3.252e-05,-3.489094170040013
3.253e-05,-3.489226243831796
3.254e-05,-3.489399917799802
3.255e-05,-3.489217312444087
3.256e-05,-3.489090956633573
3.257e-05,-3.489272754378098
3.258e-05,-3.489359508327866
3.259e-05,-3.489242128236048
3.26e-05,-3.489337910676346
3.261e-05,-3.489354370676545
3.262e-05,-3.48923313112699
3.263e-05,-3.489275517714203
3.264e-05,-3.489337252607909
3.265e-05,-3.489286785278801
3.266e-05,-3.489355409935722
3.267e-05,-3.489291829579688
3.268e-05,-3.489323156508636
3.269e-05,-3.489379472406346
3.27e-05,-3.489179977869886
3.271e-05,-3.489256215839368
3.272e-05,-3.489279291430797
3.273e-05,-3.48930893752333
3.274e-05,-3.489464066892349
3.275e-05,-3.489468525470072
3.276e-05,-3.489344440657615
3.277e-05,-3.489369610446784
3.278e-05,-3.489421644630919
3.279e-05,-3.489307843491825
3.28e-05,-3.489319588566744
3.281e-05,-3.489407766084306
3.282e-05,-3.489480215784222
3.283e-05,-3.489447801216028
3.284e-05,-3.489407572792721
3.285e-05,-3.489426116821404
3.286e-05,-3.489514823538816
3.287e-05,-3.489516941197619
3.288e-05,-3.48949727140767
3.289e-05,-3.489427441712254
3.29e-05,-3.489400106217118
3.291e-05,-3.489450740486134
3.292e-05,-3.48941972504246
3.293e-05,-3.489355464787997
3.294e-05,-3.489518630004106
3.295e-05,-3.489538353289819
3.296e-05,-3.489478324398346
3.297e-05,-3.48962803582898
3.298e-05,-3.489623369109354
3.299e-05,-3.489579700532072
3.3e-05,-3.489582251481517
3.301e-05,-3.48955943318108
3.302e-05,-3.489512338465437
3.303e-05,-3.489630630373716
3.304e-05,-3.489689024125525
3.305e-05,-3.489702444671952
3.306e-05,-3.489645299260683
3.307e-05,-3.489504456465231
3.308e-05,-3.489410022602934
3.309e-05,-3.4894964934113
3.31e-05,-3.489611017016053
3.311e-05,-3.489509282175037
3.312e-05,-3.48947228888151
3.313e-05,-3.489600339654341
3.314e-05,-3.4895860620548
3.315e-05,-3.489652351026062
3.316e-05,-3.489750598767079
3.317e-05,-3.489590133739542
3.318e-05,-3.48952247016483
3.319e-05,-3.489611856626658
3.32e-05,-3.489742240314715
3.321e-05,-3.489588226842703
3.322e-05,-3.489561871167195
3.323e-05,-3.489547235815857
3.324e-05,-3.489632145585909
3.325e-05,-3.489715322323756
3.326e-05,-3.489732031570171
3.327e-05,-3.489538576714239
3.328e-05,-3.489479566424158
3.329e-05,-3.489683855651392
3.33e-05,-3.489719389098167
3.331e-05,-3.489559301953099
3.332e-05,-3.489520745713841
3.333e-05,-3.489588455158791
3.334e-05,-3.489545675873025
3.335e-05,-3.4896837011299
3.336e-05,-3.489703297481037
3.337e-05,-3.489594463369012
3.338e-05,-3.489575808672606
3.339e-05,-3.489598199266299
3.34e-05,-3.489701993706389
3.341e-05,-3.489625086215413
3.342e-05,-3.489538916038047
3.343e-05,-3.489745815859552
3.344e-05,-3.489725069002279
3.345e-05,-3.489559705513814
3.346e-05,-3.489611457706998
3.347e-05,-3.48962929686224
3.348e-05,-3.489744003318961
3.349e-05,-3.489740838677248
3.35e-05,-3.489677499469505
3.351e-05,-3.489781100262472
3.352e-05,-3.489820040035765
3.353e-05,-3.489740257781009
3.354e-05,-3.489745039596373
3.355e-05,-3.48973215571537
3.356e-05,-3.489614094474693
3.357e-05,-3.489758621255907
3.358e-05,-3.489814863371465
3.359e-05,-3.489625137791285
3.36e-05,-3.489863763283129
3.361e-05,-3.489897013354372
3.362e-05,-3.489744482683808
3.363e-05,-3.48983191134101
3.364e-05,-3.489778534399071
3.365e-05,-3.489573141896702
3.366e-05,-3.489762298825208
3.367e-05,-3.489957888968718
3.368e-05,-3.489749349358249
3.369e-05,-3.489699697346091
3.37e-05,-3.489888475986354
