#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-10-14 15:41:16.473
#Sample rate: 2.5e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Average: 10000
#Channel 1: Range: 250 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 250 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

#Time (s),Channel 1 (V),Channel 2 (V)
-5.692e-05,-1.001793091290157,-1.003186792141781
-5.688e-05,-1.001961696038235,-1.00339834773695
-5.684e-05,-1.002296940445192,-1.003440263424813
-5.68e-05,-1.002925769343473,-1.003440263424813
-5.676e-05,-1.002128335696435,-1.003735650396303
-5.672e-05,-1.001709771460854,-1.003186792141781
-5.668e-05,-1.001374527054572,-1.00339834773695
-5.664e-05,-1.001626451631953,-1.004031037367886
-5.66e-05,-1.002255280530512,-1.003228707829644
-5.656e-05,-1.001457846883567,-1.003693734708533
-5.652e-05,-1.001626451631953,-1.004368340027215
-5.648e-05,-1.001374527054572,-1.004452171403295
-5.644e-05,-1.00192003612392,-1.003861397460557
-5.64e-05,-1.002003355952915,-1.00348217911303
-5.636e-05,-1.000241849001037,-1.003735650396303
-5.632e-05,-1.000872642989776,-1.004072953055726
-5.628e-05,-1.002171960701209,-1.003524094801134
-5.624e-05,-1.001751431375535,-1.003440263424813
-5.62e-05,-1.000787358070694,-1.004031037367886
-5.616e-05,-1.00154313180265,-1.003819481772382
-5.612e-05,-1.001374527054572,-1.003777566084514
-5.608e-05,-1.00192003612392,-1.003777566084514
-5.604e-05,-1.001709771460854,-1.003186792141781
-5.6e-05,-1.001961696038235,-1.003693734708533
-5.596e-05,-1.002003355952915,-1.003777566084514
-5.592e-05,-1.002003355952915,-1.003777566084514
-5.588e-05,-1.002296940445192,-1.00348217911303
-5.584e-05,-1.001751431375535,-1.004031037367886
-5.58e-05,-1.001080942562295,-1.004410255715078
-5.576e-05,-1.001878376209612,-1.004156784432047
-5.572e-05,-1.002296940445192,-1.003524094801134
-5.568e-05,-1.001751431375535,-1.004031037367886
-5.564e-05,-1.002548865022572,-1.003524094801134
-5.56e-05,-1.002967429258066,-1.004326424339376
-5.556e-05,-1.003596258156718,-1.004156784432047
-5.552e-05,-1.003385993493652,-1.004114868743873
-5.548e-05,-1.002463580103119,-1.004114868743873
-5.544e-05,-1.002925769343473,-1.004410255715078
-5.54e-05,-1.003009089172375,-1.003861397460557
